,Direction,Price,m2,Floor,Room,Description
10,"
Piso en calle de Berastegui, Pueblo Nuevo, Madrid
",890€/mes,65 m²,Bajo exterior sin ascensor,2 hab.,"
Vivienda totalmente reformada de 65m2 (A ESTRENAR), distribuida en 2 habitaciones, amplio salón, cocina amueblada y equipada, 2 baños completos con plato de ducha, armarios empotrados, A/A Bomba Frío y Calor, exterior, se entrega sin amueblar. Gastos de comunidad incluidos en el precio de la renta.
"
11,"
Piso en calle de Evaristo San Miguel, s/n, Argüelles, Madrid
",1.750€/mes,68 m²,,2 hab.,"
DISPONIBLE AHORA


[ESP] DISPONIBLE EN: Febrero.
Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".
[ENG] AVAILABLE FROM: February.
Book online by clicking on ""additional link"" under the map.
[ESP] No se aceptan alquileres inferiores a 5 meses [ENG] Rentals of less than 5 months are not accepted
"
12,"
Piso en calle de la Arquitectura, Acacias, Madrid
",850€/mes,50 m²,Planta 3ª exterior con ascensor,2 hab.,"
Piso de 50m2 distribuido en 2 habitaciones, salón independiente con acceso de terraza de 6m2, cocina totalmente amueblada y equipada y baño completo con bañera. Dispone de suelos de parquet, calefacción central individualizada, se entrega recién pintado y sin amueblar.
Finca con ascensor, gastos de
"
13,"
Piso en Conde Orgaz-Piovera, Madrid
",3.600€/mes,153 m², exterior con ascensor,3 hab.,"
Moderno piso a estrenar en Conde de Orgaz
Engel & Völkers se complace en presentar este espectacular piso de alquiler, ubicado en una de las mejores urbanizaciones de la exclusiva zona de Conde de Orgaz. Este moderno y nuevo apartamento cuenta con magníficas zonas comunes e instalaciones deportivas
"
14,"
Piso en calle de Cadarso, Argüelles, Madrid
",1.300€/mes,66 m²,Planta 5ª exterior con ascensor,2 hab.,"
Apartamento de 66m2, dispone de un amplio salón a dos ambientes con la cocina equipada y amueblada abierta al mismo, una espaciosa habitacion con gran amario empotrado, cuarto de baño en suite con plato ducha y mampara. La habitación cuenta tb con una terraza con vistas. Exterior, muy luminoso. Cale
"
15,"
Piso en Goya, Madrid
",3.900€/mes,115 m²,Planta 3ª exterior con ascensor,3 hab.,"
Piso de lujo, en Avenida Felipe II zona Goya
Engel & Völkers les presenta este piso amueblado con mucho gusto y materiales de calidad
Está situado en una de las mejores zonas de Goya.
El piso tiene 115 metros cuadrados, ha sido recientemente reformado en su totalidad con un alto nivel de habitabilid
"
16,"
Piso en calle de Sierra Toledana, Numancia, Madrid
",990€/mes,80 m²,Planta 6ª exterior con ascensor,3 hab.,"
Piso de 75 m2 distribuido en 3 dormitorios, amplio salón-comedor, cocina completamente amueblada y equipada, 1 baño completo con plato de ducha, armarios empotrados, calefacción individual de gas natural, aire acondicionado en el salón y suelos de parquet. Exterior y muy luminoso, amueblado. Finca c
"
17,"
Piso en El Viso, Madrid
",1.650€/mes,70 m²,Planta 2ª exterior con ascensor,2 hab.,"
Piso reformado y luminoso vacío en alquiler
Engel & Völkers presenta este maravilloso piso vacío en alquile, r con reforma integral del 2022, de unos 65 m2. Es un piso muy agradable ya que tiene mucha luz natural y además se encuentra en una calle muy tranquila. El salón comedor es amplio y abierto
"
18,"
Dúplex en Nueva España, Madrid
",2.100€/mes,85 m²,Planta 7ª exterior con ascensor,1 hab.,"
Top team les ofrece este excelente Atico en una de las calles más demandadas en la
zona/barrio de Nueva España como es Henri Dunant.
Este ático tiene en planta unos 75 metros útiles, divididos en un dormitorio de buen
tamaño con baño propio. Además este dormitorio dispone de una terraza. El salón,
d
"
19,"
Piso en calle de los Cabestreros, Lavapiés-Embajadores, Madrid
",850€/mes,36 m²,Planta 2ª interior sin ascensor,1 hab.,"
SERVICHECK ALQUILA Contactar con Johana al 675_259_379
Acogedor piso en alquiler de 1 DORMITORIO, 1 Baño, Salón Comedor, Cocina Americana Totalmente equipada, Aire acondicionado Con Bomba de Calor, Reformado hace 1 año, cama doble con canapé.
Muy bien ubicado con la renfe de embajadores y la line
"
20,"
Piso en calle del Calvario, Lavapiés-Embajadores, Madrid
",890€/mes,37 m²,Planta 1ª interior sin ascensor,1 hab.,"
Corazón Inmobiliario ALQUILA EN EXCLUSIVA una coquetería de piso en pleno Centro de la Capital, en el barrio de Lavapiés, barrio denominado como el más cool del mundo según la revista Time Out.
SE BUSCA PERFIL PARA ESTANCIAS INFERIORES AL AÑO.
La vivienda que alquilamos es una 1ª planta interior,
"
21,"
Piso en calle alejandro casona, 3, Peñagrande, Madrid
",1.375€/mes,85 m²,Planta 2ª exterior con ascensor,2 hab.,"
Vivienda exterior planta segunda, superficie útil 78 metros, distribuidos en dos dormitorios, cuarto de baño con bañera, y aseo, cocina amueblada con lavavajillas, frigorífico y vitrocerámica, hall, terraza tendedero y terraza abierta en el salón, calefacción central, agua caliente central, incluida
"
22,"
Piso en Arriaza, 8, Argüelles, Madrid
",1.350€/mes,63 m²,Planta 3ª interior sin ascensor,2 hab.,"
NO AGENCIAS.
Piso recien reformado al lado del Palacio de Oriente, Madrid Rio, calle Gran Vía, Plaza de España, Centro Comercial y estación de Principe Pio.
Son 2 habitaciones con camas dobles con colchones viscoelasticos, ventiladores en el techo, armarios empotrados, luces de Led, suelo ceramico
"
23,"
Piso en calle de Fernández de la Hoz, 31, Almagro, Madrid
",2.900€/mes,138 m²,Planta 1ª exterior con ascensor,3 hab.,"
Vivienda premium en alquiler recientemente reformada.


Fernández de la Hoz 31, es un edificio emblemático situado en el corazón del exclusivo barrio de Almagro, en el madrileño distrito de Chamberí.
Proyectado por los arquitectos Antonio Marsá Prat y Antonio Vallejo Álvarez, autores que firman numerosos edificios emblemáticos del Madrid, con viviendas
"
24,"
Piso en calle Pozas, Malasaña-Universidad, Madrid
",850€/mes,45 m²,Planta 3ª interior con ascensor,2 hab.,"
Quieres vivir en una zona atractiva, comunicada, en el centro de Madrid.
Desde nuestra Inmobiliaria les ofrecemos la oportunidad de visitar esta vivienda situada en el corazón de Madrid a escasos pasos de la Calle San Bernardo donde se encuentra situado el Metro de Noviciado, se encuentra rodeada de
"
25,"
Piso en paseo de la Dirección, 161, Valdeacederas, Madrid
",2.200€/mes,60 m²,Planta 22ª exterior con ascensor,1 hab.,"
En el recién estrenado Skyline Residential Tower, el edificio residencial más alto de Madrid, ubicado en la planta 6ª encontramos este moderno apartamento de 1 dormitorio, completamente amueblado y equipado, que dispone de una terraza con espectaculares vistas a la ciudad y a la sierra.
El edificio
"
26,"
Piso en calle Morales del Rey, 8, Arcos, Madrid
",890€/mes,57 m²,Planta 3ª exterior sin ascensor,2 hab.,"
¡Sin comisión de agencia!
Excelente vivienda recién reformada de dos dormitorios, salón-comedor y un baño. Se encuentra en la 3ª planta de un edificio residencial. Situado en unos de los mejores sitios de San Blas a 5 minutos del metro Alsacia (L2 en 20 minutos llega a Sol) y 4 minutos del Centro Co
"
27,"
Piso en calle de la Lonja de la Seda, 21, Pau de Carabanchel, Madrid
",999€/mes,103 m²,Planta 4ª con ascensor,2 hab.,"
¡Sin comisiones de agencia!


Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. (*sujeto a condiciones)
Moderna urbanización privada en la zona de Buenavista (Carabanchel). Al lado de la boca de Metro “La Peseta” y del Centro Comercial Islazul.
Cuenta con un actual y seguro
"
28,"
Piso en calle de Camarena, Aluche, Madrid
",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,3 hab.,"
Aseguramos Tu Alquiler - Alquila Piso Reformado de 3 Habitaciones.
"
29,"
Piso en calle de Isabel Clara Eugenia, 39, Sanchinarro, Madrid
",1.325€/mes,83 m²,Planta 2ª con ascensor,2 hab.,"
¡Sin comisiones de agencia!


Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. (*sujeto a condiciones).
Urbanización privada, vivienda de 1,2 y 3 dormitorios, disponen de ascensor, plaza de garaje, zona infantil, servicio de conserjería, videovigilancia y piscina comunitari
"
