,Direction,Price,m2,Floor,Room,Description
10," Piso en avenida de la Gran Vía del Sureste, 33, Ensanche de Vallecas - La Gavia, Madrid ",910€/mes,85 m²,Planta 2ª exterior con ascensor,2 ," LLAMAR SOLO TARDES DE 17 h. a 20 h. Alquilo piso muy luminoso (orientación sureste) como nuevo y amueblado con muebles de primera calidad, Ensanche de Vallecas, metro Valdecarros, Avenida Gran Vía del Sureste, 2 habitaciones, plaza de garaje, urbanización cerrada, portero físico, zonas comunes, jard "
11," Dúplex en Canillas, Madrid ",3.200€/mes,168 m², exterior con ascensor,5 ," Excelente piso en Santo Ángel Engel & Völkers, pone a su disposición este excelente inmueble, Ático Dúplex, listo para disfrutar. Un bellísimo, amplio e iluminado apartamento, con 3 terrazas, con doble orientación y vistas esplendidas. Ubicado dentro de un excelente conjunto residencial, acompañado "
12," Ático en calle de San Dimas, 17, Malasaña-Universidad, Madrid ",2.700€/mes,105 m²,Planta 4ª exterior con ascensor,3 ," No dejes de ver el video, además de las fotos.. . Bienvenido al paraíso urbano de Malasaña. Este ático dúplex de dos dormitorios, con una tercera habitación abuhardillada, es una joya en medio de la vibrante vida de este emblemático barrio madrileño. Desde el momento en que pongas un pie en este lu "
13," Piso en Salvador, Madrid ",4.375€/mes,250 m²,Planta 6ª exterior con ascensor,5 ," Prime Marbs Conde Orgaz-Piovera presenta esta exclusiva vivienda estilo Loft New York en un edificio industrial que recibió un premio arquitectónico por su rampa central de acceso directo en coche a cada piso. Experimenta el lujo, la comodidad y la seguridad en esta espectacular y EXCLUSIVA vivienda "
14," Piso en calle Tomás López, 12, Goya, Madrid ",1.600€/mes,80 m²,Planta 2ª exterior con ascensor,1 ," Luminoso apartamento en excelente ubicación. Edificio moderno. Amueblado a estrenar y con aire acondicionado. Amplio salón con chaise lounge, y zona de comedor. Cocina independiente, amueblada y completamente equipada con electrodomésticos (nevera, microondas, lavavajillas, lavadora, horno, placa y "
15," Piso en paseo de Extremadura, 214, Lucero, Madrid ",1.200€/mes,100 m²,Planta 2ª exterior sin ascensor,4 ," Alquila Mejor ofrece vivienda en alquiler de 100 metros cuadrados y está compuesta por 4 dormitorios y 1 baño. La vivienda se entrega semi-amueblada, su distribución parte del hall de entrada dando acceso a la cocina, el primer dormitorio y al salón. Cocina amueblada y equipada, el salón es de paso "
16," Piso en calle de Máiquez, 11, Ibiza, Madrid ",1.200€/mes,50 m²,Planta 2ª exterior con ascensor,1 ," Apartamento totalmente exterior seminuevo en edificio con 6 años de antigüedad. Cuenta con una habitación, baño, salón comedor, cocina amueblada con lavadora, lavavajillas y frigorífico grande. Calefacción individual de gas, aire acondicionado y bomba de calor. El apartamento tiene una excelente ubi "
17," Piso en calle de Cochabamba, Bernabéu-Hispanoamérica, Madrid ",2.100€/mes,110 m²,Planta 2ª exterior con ascensor,3 ," Alquila mejor pone a su disposición magnifico 3er piso exterior de 110 m2 y 3 dormitorios en uno de los mejores barrios de Madrid. Se encuentra en una las mejores zonas de Chamartin (Bernanbéu-Hispanoamérica), con una distribución muy aprovechada y rodeado de absolutamente todo lo que puedas necesi "
18," Piso en calle del Doctor Cirajas, 18, Pueblo Nuevo, Madrid ",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,2 ," Se alquila piso muy luminoso en Ciudad Lineal-Madrid: 60 m2, dos habitaciones, salón, baño, cocina y pequeña terraza- tendedero. Completamente amueblado, suelo de parquet, aire acondicionado, calefacción individual de Gas Natural, lavadora, nevera, lavavajillas, microondas, sofás, camas, armarios, m "
19," Piso en calle del Marqués de Monteagudo, Guindalera, Madrid ",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,1 ," ¡SERVICHECK ALQUILA! Marcos Enríquez Estupendo piso completamente amueblado y muy bien comunicado junto a la plaza de toros de Las Ventas. Consta de una habitación doble con cama de matrimonio y salida a terraza, pasillo con gran armario empotrado, baño completo con plato de ducha, cocina completa "
20," Piso en calle del Doctor Cirajas, 18, Pueblo Nuevo, Madrid ",1.100€/mes,60 m²,Planta 1ª exterior con ascensor,2 ," Se alquila piso muy luminoso en Ciudad Lineal-Madrid: 60 m2, dos habitaciones, salón, baño, cocina y pequeña terraza- tendedero. Completamente amueblado, suelo de parquet, aire acondicionado, calefacción individual de Gas Natural, lavadora, nevera, lavavajillas, microondas, sofás, camas, armarios, m "
21," Estudio en calle Cerro del Murmullo, Ensanche de Vallecas - La Gavia, Madrid ",700€/mes,Bajo exterior sin ascensor,,47 m²," ¡SE ALQUILA LOFT! SE ENCUENTRA SIN AMUEBLAR CON LA COCINA EQUIPADA en un entorno tranquilo, confortable a pocos minutos del metro Valdecarros. DISPONIBILIDAD INMEDIATA. Mejor ver. -Alquiler larga estancia (no temporal). -Mascota: No. -No estudiantes. -Garaje no disponible. -Para visitas presenc "
22," Piso en pasaje de Valle de Oro, Opañel, Madrid ",800€/mes,62 m²,Planta 4ª exterior sin ascensor,2 ," Vivienda de 62m² recién pintada. Consta de 2 dormitorios, salón comedor con acceso a terraza de 6 m2, cocina equipada y amueblada y 1 cuarto de baño completo. Calefacción individual de Gas Natural. Dispone de armarios empotrados y suelos de tarima. La vivienda es exterior y se entrega sin amuebla "
23," Piso en avenida de Burgos, Castilla, Madrid ",3.600€/mes,171 m²,Planta 1ª exterior con ascensor,3 ," Espectacular Piso en Nueva España, Chamartin. Engel & Völkers les presenta este espectacular piso en una urbanización cerrada de nueva construccion. El piso está construido con los mejores y más eficientes materiales. Cuenta con un amplio salón comedor de 50 m2 y una amplia terraza de 20 m2 que mues "
24," Piso en calle de José Ortega y Gasset, Lista, Madrid ",3.200€/mes,111 m²,Planta 6ª exterior con ascensor,3 ," Presentamos este precioso piso reformado en el Distrito de Salamanca, Disponible a partir del 3 de diciembre. Ubicado en un inmueble señorial y con la presencia de un portero físico, se encuentra en una calle animada de comercios, cafes y restaurantes. En un espacio abierto nos encontramos con un "
25," Piso en avenida cerro de valdecahonde, 26, Aravaca, Madrid ",1.320€/mes,90 m²,Planta 2ª exterior con ascensor,2 ," ¡Sin comisiones de agencia!   ¡Sin comisiones de agencia! En el corazón de Aravaca, a tan sólo 2 minutos de la estación de tren de Aravaca y con todos los servicios a su alcance. Muy próximo a centro comercial Zielo y a Avenida de Europa con gran oferta en restauración. SERVICIOS •Seguridad 24 horas •Piscina •Gimnasio totalm "
26," Piso en calle de Castilla, Bellas Vistas, Madrid ",1.200€/mes,55 m²,Planta 1ª interior con ascensor,2 ," Estupendo piso recién reformado y a estrenar de 55m² con 2 dormitorios, 1 cuarto de baño, amplio salón-comedor y cocina completamente equipada y amueblada. El piso dispone de aire acondicionado por splits en salón y habitación principal, es interior, pero con gran entrada de luz, y se entrega amuebl "
27," Piso en calle de Padilla, Lista, Madrid ",2.500€/mes,118 m²,Planta 4ª exterior con ascensor,2 ," S C A L A  |  Properties presenta vivienda amueblada de 2 habitaciones en el Barrio de Salamanca. Disponible Enero 2024! Vivienda amueblada de 2 habitaciones y 118 m² construidos, ubicada en la cuarta planta de una finca de 1960. Entrando a la vivienda nos encontramos en el hall un amplio armari "
28," Piso en calle de Mauricio Legendre, 59, Castilla, Madrid ",1.600€/mes,90 m²,Planta 4ª exterior con ascensor,2 ," No Agencia. Excelente piso ubicado en una de las mejores zonas de Madrid, en la Colonia San Cristóbal, justo enfrente de las 4 Torres, la IE Business School y el hospital Universitario de La Paz. El piso se encuentra completamente reformado y equipado, cuenta con aire acondicionado, calefacción i "
29," Piso en calle de Pedro Teixeira, Cuatro Caminos, Madrid ",1.550€/mes,81 m²,Planta 10ª exterior con ascensor,2 ," PISO (65 m²) DE DOS DOSMITORIOS, AMBOS EN SUITE, Y CALEFACCION CENTRAL INCLUIDA EN ALQUILER. La vivienda consta de: salón (21,50 m²), cocina independiente totalmente equipada, dos dormitorios en suite (10 m² y 9,75 m²), dos baños (uno equipado con ducha y otro con bañera). Características: -Aire a "
30," Piso en Nueva España, Madrid ",2.500€/mes,180 m²,Planta 1ª exterior con ascensor,4 ," Promora Madrid alquila piso en Chamartín-Nueva España, de tres dormitorios más uno de servicio y dos baños. Zona muy tranquila y residencial rodeada de colegios y jardines, muy bien comunicada con accesos directos a la M-30 en ambas direcciones y salidas a las principales arterias de la ciudad: Pas "
31," Piso en Niño Jesús, Madrid ",8.000€/mes,324 m²,Planta 4ª exterior con ascensor,4 ," Estate One ofrece fantástico piso reformado, con maravillosas vistas al parque del Retiro. Salón con chimenea y zona de comedor en dos ambientes con salida a terraza, y grandes ventanales al parque. La terraza tiene una parte cuadrada muy amplia como para poner zona de estar, y otra parte alargada, "
32," Piso en Goya, Madrid ",1.520€/mes,90 m²,Planta 2ª exterior con ascensor,2 ," MARIO INMOBILIARIA OFRECE INMUEBLE PARA CONCERTAR UNA VISITA LLAMAR A MARIO Se alquila estupenda vivienda, IDEAL PARA COMPARTIR O PARA PAREJAS, situada muy próxima a la plaza de Manuel Becerra y bien comunicada con la red de transporte tanto en metro como en autobús. El inmueble dispone de un lum "
33," Piso en santiago de compostela, 30, La Paz, Madrid ",1.550€/mes,150 m²,Planta 12ª exterior con ascensor,4 ," Luminoso piso totalmente reformado, amueblado en Santiago de Compostela, zona muy reclamada por su ubicación, zonas arboladas, servicios y comunicacion a toda la ciudad. El piso cuenta con una preciosa cocina con los mejores electrodomésticos y zona de almacenaje y lavado, abierta a un bonito salón "
34," Piso en calle de Donoso Cortés, Gaztambide, Madrid ",3.000€/mes,130 m²,Planta 5ª interior con ascensor,5 ," OPORTUNIDAD ESTUDIANTES Y JÓVENES PROFESIONALES! DISPONIBLE EN NOVIEMBRE! My Home Eficiente ofrece piso RECIÉN REFORMADO! . Amplio y tranquilo piso ubicado a escasos minutos de la fundación Jiménez Díaz y el hospital clínico San Carlos. 5 dormitorios uno con entrada independiente, equipados con "
35," Piso en calle Joaquín Bau, Nueva España, Madrid ",3.150€/mes,258 m²,Planta 7ª exterior con ascensor,4 ," Precioso piso séptima planta súper luminoso con dos terrazas con orientación Este y Oeste, plaza de garaje y trastero incluidos en el precio. Se trata de una vivienda muy agradable y luminosa, que acaba de ser reformada parcialmente y se encuentra en perfecto estado. Cuenta con una amplía zona de r "
36," Ático en Santa Engracia, Trafalgar, Madrid ",1.700€/mes,40 m²,Planta 7ª exterior con ascensor,1 , PRECIOSO ÁTICO DE 49 METROS DE VIVIENDA ( 40 +9 comunes según catastro) Y 38 METROS DE TERRAZA. COMPLETAMENTE REFORMADO. A ESTRENAR. ESPECTACULARES VISTAS DE MADRID. EN SANTA ENGRACIA ESQUINA EDUARDO DATO. Trastero individual en el sótano del edificio. DISPONIBLE ENTRAR YA¡ VISITAS: LORETO SEO 
37," Ático en calle del Conde de Peñalver, Goya, Madrid ",1.950€/mes,74 m²,Planta 6ª exterior con ascensor,2 ," Ático muy luminoso con amplia terraza en la zona de Goya. La vivienda cuenta con dos dormitorios y dos baños, uno de los dormitorios es en suite, cocina independiente, salón comedor con acceso a una amplia terraza con orientación Oeste, y con una zona de barra. Plaza de garaje opcional. Solo para la "
38," Piso en calle Francisco Lizcano, 20, Buena Vista, Madrid ",880€/mes,77 m²,Planta 1ª exterior con ascensor,2 ," SOLO PARTICULARES Piso + 2 plazas de garaje + Trastero. Mejor que nuevo, tranquilo y luminoso, en zona de chalés, parques y zonas verdes. Tocando con el ""Pau de Carabanchel"", en urbanización privada, con sala de uso comunitario, zonas verdes y área de juego infantil. Totalmente exterior, tiene "
39," Piso en calle de Alonso Cano, Nuevos Ministerios-Ríos Rosas, Madrid ",1.100€/mes,60 m²,Planta 5ª exterior sin ascensor,2 ," ALQUILOFÁCIL MONCLOA alquila piso en Madrid. DISPONIBILIDAD INMEDIATA. Piso con amplio salón muy luminoso y dos habitaciones amuebladas con cama y armarios. La cocina está completamente equipada con nevera, horno, espacio para almacenamiento, etc. Un baño completo con plato de ducha y lavabo. U "
40," Piso en calle de Alcalá, 409, Quintana, Madrid ",790€/mes,65 m²,Planta 2ª exterior con ascensor,1 ," Calle Alcalá nº 409, junto cruce Arturo Soria. Segunda planta. Fachada a la calle Alcalá, junto a metro. Cerca de centro comercial Alcalá Norte. 45 metros. Apartamento en perfectas condiciones en edificio moderno. Un dormitorio amplio con armario empotrado y canapé con base tapizada. Aire acondicion "
41," Ático en Golondrina, Aravaca, Madrid ",1.900€/mes,106 m²,Planta 3ª exterior con ascensor,2 ," ÁTICO DE DOS DORMITORIOS CON DOS TERRAZAS (27 m² y 71 m²). La vivienda consta de: hall, cocina con pequeño office totalmente equipada, salón (22,50 m²) con salida a terraza (27 m²), desde esta, mediante escalera de caracol, se accede a una segunda terraza con cenador (71 m²), dormitorio con baño en "
42," Piso en C/Doctor Cortezo, 11, Lavapiés-Embajadores, Madrid ",1.900€/mes,89 m²,Planta 1ª exterior con ascensor,2 , Disponible desde Enero de 2024. 
43," Piso en calle del Doctor Esquerdo, Pacífico, Madrid ",2.000€/mes,146 m²,Planta 5ª exterior con ascensor,3 ," Estupendo piso en Doctor Esquerdo Engel & Völkers presenta este estupendo piso con excelente distribución e iluminación. Se alquila sin muebles, a una familia. Está ubicado en Doctor Esquerdo con cercanía a dos bocas de Metro, es totalmente exterior con vistas despejadas. Tiene piscinas y áreas de r "
44," Piso en calle de Garcia de Paredes, Trafalgar, Madrid ",1.250€/mes,62 m²,Planta 2ª interior con ascensor,2 ," DISPONIBLE YA! (SOLICITE VISITA VIRTUAL) Les ofrecemos excelente piso de dos dormitorios grandes en Chamberí Luminoso, cómodo, amueblado, tranquilo Ideal para parejas o compañeros de piso, de probada solvencia Mejor ver. "
45," Chalet pareado en Simancas, Madrid ",3.000€/mes,225 m²,,4 ," Reformada casa con piscina cerca de calle Alcalá Engel & Völkers les presenta esta bonita y luminosa casa cerca de la calle Alcalá. La casa está totalmente reformada con espacios abiertos, claros y con detalles muy bonitos. La casa tiene dos pisos y el garaje, en el piso calle se encuentra un ampli "
46," Piso en calle del Cañón del Río Lobos, Horcajo, Madrid ",1.150€/mes,102 m²,Planta 3ª exterior con ascensor,2 ," Piso de 102 m2 recién pintado con 2 habitaciones, salón independiente, cocina amueblada y equipada con tendedero, 2 baños (1 en suite), armarios empotrados, calefacción individual de gas natural, aire acondicionado por conductos, suelos de parque, exterior muy luminoso y semiamueblado. Finca con asc "
47," Chalet adosado en calle Eduardo Vela, Aravaca, Madrid ",2.900€/mes,120 m²,,3 ," Preciosa casa de estilo provenzal Engel&Völkers presenta en Aravaca esta encantadora casa adosada de aire provenzal, construida en 2017, que se alquila amueblada o semiamueblada. Sin muebles, a consultar. Calefacción por suelo radiante. Una vivienda que no pasa desapercibida por su bonito diseño y e "
48," Piso en calle de Tribulete, Lavapiés-Embajadores, Madrid ",830€/mes,40 m²,Planta 4ª interior sin ascensor,2 ," Acogedor apartamento de 35m2, cuanta planta sin ascensor, un dormitorio con cama de 135x190, armario empotrado de tres puertas, salón-comedor, cocina totalmente equipada con vitrocerámica, lavadora, microondas, frigorífico y armarios, baño con ducha. Tiene otra habitación abuhardillada en otra plant "
49," Piso en paseo de la Castellana, Ventilla-Almenara, Madrid ",5.000€/mes,210 m²,Planta 5ª exterior con ascensor,5 ," GALOTA INVERSIONES E INMOBILIARIA ALQUILA PISO HERMOSO PISO AMUEBLADO Comunícate con nosotros escribiendo al WhatsApp 604_89_3314 Un piso exterior exclusivo con una inmejorable ubicación, a menos de 1km de la estación de tren Chamartín, 1,9 km del estadio Santiago Bernabéu y a 6 km del museo Thys "
50," Piso en calle de Mayorazgo de Duarte, 23, El Cañaveral, Madrid ",1.200€/mes,113 m²,Planta 5ª exterior con ascensor,3 ," Alquilo vivienda sin amueblar de 113 m2, construida en 2022, en urbanización en primera línea del parque central de El Cañaveral. 5ª planta muy luminosa (orientación sur): - 3 dormitorios (el principal tiene vestidor y baño en suite con ventana al exterior) - 5 armarios empotrados en todas las habit "
51," Piso en Jerónimos, Madrid ",3.000€/mes,120 m², exterior con ascensor,2 ," Piso a estrenar en Jerónimos - Retiro Engel & Völkers presenta esta maravillosa propiedad en una de las mejores zonas de Madrid, como lo es Jerónimos, entre el parque El Retiro y el Museo del Prado. Totalmente nuevo a Estrenar en edificio clásico del año 1900 y reformado con las mejores calidades. L "
52," Piso en Berruguete, Madrid ",1.000€/mes,62 m²,Planta 3ª exterior con ascensor,1 ," ENTRADA A PARTIR DE DICIEMBRE 1 DE 2023. TRATO DIRECTO PROPIETARIO. SIN COMISION AGENCIA. Estupendo piso con buena iluminación, céntrico en la calle Villaamil y muy cómodo. Ideal para parejas o persona sola. Cuenta con 1 amplia habitación con cama matrimonial, armario empotrado y vistas; cocina to "
53," Piso en Goya, Madrid ",3.200€/mes,105 m²,Planta 6ª exterior con ascensor,2 ," Piso reformado en calle Hermosilla Engel & Völkers presenta este piso, disponible para alquileres a largo plazo, caracterizado por su comodidad y calidez. Se entra a la vivienda a través de un recibidor que nos facilita el acceso a un amplio y cómodo salón comedor. Dispone también de dos dormitorios "
54," Piso en calle del Príncipe de Vergara, Recoletos, Madrid ",1.500€/mes,50 m²,Planta 2ª interior con ascensor,1 ," Presentamos este luminoso piso, recien reformado a estrenar, excelentemente ubicado en el barrio de Recoletos, a pocos pasos de el parque El Retiro y muy cerca de la Puerta de Alcalá. Desde la ventana del salon podemos contemplar la luz y las vistas de los cielos de Madrid. Al entrar por el pasill "
55," Ático en Chueca-Justicia, Madrid ",1.500€/mes,57 m²,Planta 6ª exterior con ascensor,1 ," Ático con terraza amueblado en Justicia en alquiler Disponible el 22 de Noviembre. Engel & Völkers les ofrece este luminoso ático en una de las mejores zonas de Madrid, en el conocido barrio de Justicia. Es un loft de unos 57m2 reformado con buenas calidades. Dispone de una amplia estancia abierta c "
56," Piso en Cuzco-Castillejos, Madrid ",1.300€/mes,60 m²,Planta 8ª exterior con ascensor,1 ," CONTRATO DE TEMPORADA. Exclusiva vivienda con reforma reciente y amueblada a estrenar en Eurobuilding II en la calle orense, a dos minutos caminando del paseo de la castellana. apartamento de aproximadamente setenta metros cuadrados construidos con terraza amplia. exterior en orientación este, sol d "
57," Ático en Chueca-Justicia, Madrid ",2.450€/mes,95 m²,Planta 6ª exterior con ascensor,1 ," Los mejores atardeceres en Madrid Engel & Völkers presenta en exclusiva este ático completamente remodelado de lujo. Es exterior, con una habitación doble y tiene una amplia terraza de 30 mts2, ideal para una pareja o profesionales jóvenes que valoran el buen gusto y tener espacio para un respiro en "
58," Piso en Delicias, Madrid ",1.350€/mes,64 m², exterior sin ascensor,1 ," Vivienda 2 alquila piso a estrenar de dos plantas, en planta baja cuenta con salón, comedor y cocina totalmente equipada y en la primera planta con el dormitorio y baño en suite. La cocina está completamente equipada con todos los electrodomésticos, incluidos lavadora, lavavajillas, frigorífico y m "
59," Piso en Niño Jesús, Madrid ",3.600€/mes,214 m²,Planta 6ª exterior con ascensor,4 ," Amplio y luminoso ático en Retiro Engel & Völkers les ofrece este luminoso y espacioso ático exterior en excelente estado de conservación. El pasillo de entrada da acceso a la cocina totalmente equipada (Nevera americana, horno, vitrocerámica, campana, lavadora y secadora) y un amplio salón con dos "
60," Piso en C. de Evaristo San Miguel, 7, Argüelles, Madrid ",1.300€/mes,80 m²,Planta 2ª exterior con ascensor,1 ," Precioso piso con una ubicación muy conveniente y ventanas con vistas al patio. 2ª planta con ascensor. El piso recién renovado de 80m2 consta de: salón con sofá doble (140cm x 190cm), dormitorio doble, cocina espaciosa, totalmente equipada, cuarto de baño con ducha. El piso dispone de aire acondici "
61," Piso en San Andrés, Malasaña-Universidad, Madrid ",2.150€/mes,75 m²,Planta 4ª exterior con ascensor,1 ," ""HMS Real Estate alquila piso de 1 DORMITORIO en Malasaña de 1 mes a 6 meses. TODOS LOS GASTOS INCLUIDOS. El inmueble es una 4ª planta y es exterior. Tiene ascensor la finca. Les podemos pasar fotos por mail o whatsapp. Salón amplio con cocina independiente completamente equipada y ase de cortesí "
62," Piso en calle de la Madera, Malasaña-Universidad, Madrid ",2.700€/mes,61 m²,Planta 3ª interior con ascensor,2 ," DISPONIBLE ENERO 2024 Este moderno piso ha sido recientemente reformado, incorporando bonitos diseños, acabados de calidad y características modernas: mobiliario de acento negro, suelos de madera, electrodomésticos de alta calidad, etc. Está situado en el Barrio de Malasaña, Centro, próximo a much "
63," Piso en calle de Juan de Mena, Jerónimos, Madrid ",1.725€/mes,55 m²,Planta 4ª interior con ascensor,2 ," ""HMS Real Estate alquila estupendo piso interior de 2 DORMITORIOS en la calle JUAN DE MENA junto al Retiro, el pulmón de Madrid, LA MEJOR ZONA DE MADRID, cerca de todos los servicios, super bien comunicado por autobuses HMS Real Estate NO cobra honorarios de agencia. Nuestra vivienda está en la 4 "
64," Piso en Bellas Vistas, Madrid ",1.950€/mes,125 m², exterior con ascensor,3 , Amplio Piso en Avenida de la Reina Victoria Engel & Völkers presenta este luminoso y amplio piso ubicado en el Barrio de Ciudad Universitaria. Con vistas exteriores a la Av. de la Reina Victoria. Esta vivienda se ofrece Amueblado. Cuenta con un hall de entrada que da acceso a todas las áreas de la c 
65," Estudio en Recoletos Salamanca, Recoletos, Madrid ",1.300€/mes,Planta 3ª exterior con ascensor,1 hora,35 m²," HMS Real Estate alquila estupendo ESTUDIO EXTERIOR, en recoletos, a dos minutos de la puerta del Alcalá y del Retiro, el pulmón de Madrid, LA MEJOR ZONA DE MADRID, cerca de todos los servicios, super bien comunicado por metro y por autobús Nuestra vivienda está en la 3ª planta. Tiene ascensor. La "
66," Piso en calle de Nanclares de Oca, Rejas, Madrid ",1.450€/mes,200 m²,Bajo exterior con ascensor,2 ," “JOWNER ALQUILA FANTÁSTICO PISO CON TERRAZA EN REJAS"" Se trata de una vivienda con terraza, jardín, piscina, de excelentes calidades, cuenta con 2 dormitorios y 2 baños. El salón tiene una gran puerta de acceso al porche/patio privado de la vivienda que a su vez da al jardín de la finca. Las dos ha "
67," Piso en calle de Bravo Murillo, Vallehermoso, Madrid ",1.500€/mes,55 m²,Planta 4ª interior con ascensor,2 ," Inmobiliaria Emmanuel El piso está disponible a partir del 1 noviembre. Alquiler de piso reformado, con materiales de alta calidad. Calefacción por suelo radiante, también refrescante. El piso está en plena calle Bravo Murillo, con metro en la puerta con varias líneas de metro. Dispone de amplio "
68," Ático en calle de Herminio Puertas, 74, Puerta del Ángel, Madrid ",1.000€/mes,85 m²,Planta 2ª exterior con ascensor,2 ,
69," Piso en calle de Núñez de Balboa, Recoletos, Madrid ",3.400€/mes,145 m²,Planta 3ª exterior con ascensor,3 ," 3 Hab - 2 Baños - exterior - Recoletos - Garaje !!   S C A L A | Properties presenta vivienda de 3 habitaciones en Recoletos. Vivienda de 3 habitaciones y 145 m² construidos, ubicada en la tercera planta de una finca familiar de 1994. Entrando a la vivienda nos encontramos con el recibidor donde tenemos armarios de gran capacidad. En la zona de día "
70," Piso en Londres, 41, Guindalera, Madrid ",1.000€/mes,55 m²,Bajo exterior con ascensor,1 ," Estupendo Apartamento en planta baja en alquiler en la Calle Londres nº 41 de Madrid. Se trata de una planta baja (salón, cocina americana, dormitorio independiente y baño completo). Dispone de Trastero. Posibilidad de alquilar plaza de garaje en el mismo edificio por 85€/mes. No se admiten mascotas "
71," Ático en Carrera de San Jerónimo, Sol, Madrid ",3.900€/mes,96 m²,Planta 5ª exterior con ascensor,2 ," S C A L A  |  Properties presenta vivienda de 2 habitaciones a estrenar con terraza en Carrera de San Jerónimo. Ático con terraza de 2 habitaciones,  y 90 m² construidos, ubicada en la cuarta planta de una finca de nueva construcción en 2023. Calidad, modernidad, funcionalidad, frescura y confort "
72," Piso en infante fernando, 6, Sanchinarro, Madrid ",1.400€/mes,140 m²,Planta 6ª exterior con ascensor,2 ,
