Direction,Price,m2,Floor,Room,Description
"
Piso en calle de Alcalá, 409, Quintana, Madrid
",790€/mes,65 m²,Planta 2ª exterior con ascensor,1 hab.,"
Calle Alcalá nº 409, junto cruce Arturo Soria. Segunda planta. Fachada a la calle Alcalá, junto a metro. Cerca de centro comercial Alcalá Norte. 45 metros. Apartamento en perfectas condiciones en edificio moderno. Un dormitorio amplio con armario empotrado y canapé con base tapizada. Aire acondicion
"
"
Ático en Golondrina, Aravaca, Madrid
",1.900€/mes,106 m²,Planta 3ª exterior con ascensor,2 hab.,"
ÁTICO DE DOS DORMITORIOS CON DOS TERRAZAS (27 m² y 71 m²).
La vivienda consta de: hall, cocina con pequeño office totalmente equipada, salón (22,50 m²) con salida a terraza (27 m²), desde esta, mediante escalera de caracol, se accede a una segunda terraza con cenador (71 m²), dormitorio con baño en
"
"
Piso en C/Doctor Cortezo, 11, Lavapiés-Embajadores, Madrid
",1.900€/mes,89 m²,Planta 1ª exterior con ascensor,2 hab.,"
Disponible desde Enero de 2024.
"
"
Piso en calle del Doctor Esquerdo, Pacífico, Madrid
",2.000€/mes,146 m²,Planta 5ª exterior con ascensor,3 hab.,"
Estupendo piso en Doctor Esquerdo
Engel & Völkers presenta este estupendo piso con excelente distribución e iluminación. Se alquila sin muebles, a una familia. Está ubicado en Doctor Esquerdo con cercanía a dos bocas de Metro, es totalmente exterior con vistas despejadas. Tiene piscinas y áreas de r
"
"
Piso en calle de Garcia de Paredes, Trafalgar, Madrid
",1.250€/mes,62 m²,Planta 2ª interior con ascensor,2 hab.,"
DISPONIBLE YA!
(SOLICITE VISITA VIRTUAL)
Les ofrecemos excelente piso de dos dormitorios grandes en Chamberí
Luminoso, cómodo, amueblado, tranquilo
Ideal para parejas o compañeros de piso, de probada solvencia
Mejor ver.
"
"
Chalet pareado en Simancas, Madrid
",3.000€/mes,225 m²,,4 hab.,"
Reformada casa con piscina cerca de calle Alcalá
Engel & Völkers les presenta esta bonita y luminosa casa cerca de la calle Alcalá. La casa está totalmente reformada con espacios abiertos, claros y con detalles muy bonitos.
La casa tiene dos pisos y el garaje, en el piso calle se encuentra un ampli
"
"
Piso en calle del Cañón del Río Lobos, Horcajo, Madrid
",1.150€/mes,102 m²,Planta 3ª exterior con ascensor,2 hab.,"
Piso de 102 m2 recién pintado con 2 habitaciones, salón independiente, cocina amueblada y equipada con tendedero, 2 baños (1 en suite), armarios empotrados, calefacción individual de gas natural, aire acondicionado por conductos, suelos de parque, exterior muy luminoso y semiamueblado. Finca con asc
"
"
Chalet adosado en calle Eduardo Vela, Aravaca, Madrid
",2.900€/mes,120 m²,,3 hab.,"
Preciosa casa de estilo provenzal
Engel&Völkers presenta en Aravaca esta encantadora casa adosada de aire provenzal, construida en 2017, que se alquila amueblada o semiamueblada. Sin muebles, a consultar. Calefacción por suelo radiante.
Una vivienda que no pasa desapercibida por su bonito diseño y e
"
"
Piso en calle de Tribulete, Lavapiés-Embajadores, Madrid
",830€/mes,40 m²,Planta 4ª interior sin ascensor,2 hab.,"
Acogedor apartamento de 35m2, cuanta planta sin ascensor, un dormitorio con cama de 135x190, armario empotrado de tres puertas, salón-comedor, cocina totalmente equipada con vitrocerámica, lavadora, microondas, frigorífico y armarios, baño con ducha. Tiene otra habitación abuhardillada en otra plant
"
"
Piso en paseo de la Castellana, Ventilla-Almenara, Madrid
",5.000€/mes,210 m²,Planta 5ª exterior con ascensor,5 hab.,"
GALOTA INVERSIONES E INMOBILIARIA ALQUILA PISO HERMOSO PISO AMUEBLADO
Comunícate con nosotros escribiendo al WhatsApp 604_89_3314
Un piso exterior exclusivo con una inmejorable ubicación, a menos de 1km de la estación de tren Chamartín, 1,9 km del estadio Santiago Bernabéu y a 6 km del museo Thys
"
"
Piso en calle de Mayorazgo de Duarte, 23, El Cañaveral, Madrid
",1.200€/mes,113 m²,Planta 5ª exterior con ascensor,3 hab.,"
Alquilo vivienda sin amueblar de 113 m2, construida en 2022, en urbanización en primera línea del parque central de El Cañaveral. 5ª planta muy luminosa (orientación sur):
- 3 dormitorios (el principal tiene vestidor y baño en suite con ventana al exterior)
- 5 armarios empotrados en todas las habit
"
"
Piso en Jerónimos, Madrid
",3.000€/mes,120 m², exterior con ascensor,2 hab.,"
Piso a estrenar en Jerónimos - Retiro
Engel & Völkers presenta esta maravillosa propiedad en una de las mejores zonas de Madrid, como lo es Jerónimos, entre el parque El Retiro y el Museo del Prado. Totalmente nuevo a Estrenar en edificio clásico del año 1900 y reformado con las mejores calidades. L
"
"
Piso en Berruguete, Madrid
",1.000€/mes,62 m²,Planta 3ª exterior con ascensor,1 hab.,"
ENTRADA A PARTIR DE DICIEMBRE 1 DE 2023. TRATO DIRECTO PROPIETARIO. SIN COMISION AGENCIA.
Estupendo piso con buena iluminación, céntrico en la calle Villaamil y muy cómodo. Ideal para parejas o persona sola.
Cuenta con 1 amplia habitación con cama matrimonial, armario empotrado y vistas; cocina to
"
"
Piso en Goya, Madrid
",3.200€/mes,105 m²,Planta 6ª exterior con ascensor,2 hab.,"
Piso reformado en calle Hermosilla
Engel & Völkers presenta este piso, disponible para alquileres a largo plazo, caracterizado por su comodidad y calidez.
Se entra a la vivienda a través de un recibidor que nos facilita el acceso a un amplio y cómodo salón comedor.
Dispone también de dos dormitorios
"
"
Piso en calle del Príncipe de Vergara, Recoletos, Madrid
",1.500€/mes,50 m²,Planta 2ª interior con ascensor,1 hab.,"
Presentamos este luminoso piso, recien reformado a estrenar, excelentemente ubicado en el barrio de Recoletos, a pocos pasos de el parque El Retiro y muy cerca de la Puerta de Alcalá.
Desde la ventana del salon podemos contemplar la luz y las vistas de los cielos de Madrid.
Al entrar por el pasill
"
"
Ático en Chueca-Justicia, Madrid
",1.500€/mes,57 m²,Planta 6ª exterior con ascensor,1 hab.,"
Ático con terraza amueblado en Justicia en alquiler
Disponible el 22 de Noviembre.
Engel & Völkers les ofrece este luminoso ático en una de las mejores zonas de Madrid, en el conocido barrio de Justicia. Es un loft de unos 57m2 reformado con buenas calidades. Dispone de una amplia estancia abierta c
"
"
Piso en Cuzco-Castillejos, Madrid
",1.300€/mes,60 m²,Planta 8ª exterior con ascensor,1 hab.,"
CONTRATO DE TEMPORADA. Exclusiva vivienda con reforma reciente y amueblada a estrenar en Eurobuilding II en la calle orense, a dos minutos caminando del paseo de la castellana. apartamento de aproximadamente setenta metros cuadrados construidos con terraza amplia. exterior en orientación este, sol d
"
"
Ático en Chueca-Justicia, Madrid
",2.450€/mes,95 m²,Planta 6ª exterior con ascensor,1 hab.,"
Los mejores atardeceres en Madrid
Engel & Völkers presenta en exclusiva este ático completamente remodelado de lujo. Es exterior, con una habitación doble y tiene una amplia terraza de 30 mts2, ideal para una pareja o profesionales jóvenes que valoran el buen gusto y tener espacio para un respiro en
"
"
Piso en Delicias, Madrid
",1.350€/mes,64 m², exterior sin ascensor,1 hab.,"
Vivienda 2 alquila piso a estrenar de dos plantas, en planta baja cuenta con salón, comedor y cocina totalmente equipada y en la primera planta con el dormitorio y baño en suite.
La cocina está completamente equipada con todos los electrodomésticos, incluidos lavadora, lavavajillas, frigorífico y m
"
"
Piso en Niño Jesús, Madrid
",3.600€/mes,214 m²,Planta 6ª exterior con ascensor,4 hab.,"
Amplio y luminoso ático en Retiro
Engel & Völkers les ofrece este luminoso y espacioso ático exterior en excelente estado de conservación. El pasillo de entrada da acceso a la cocina totalmente equipada (Nevera americana, horno, vitrocerámica, campana, lavadora y secadora) y un amplio salón con dos
"
